Month,NEIGHBORHOOD,Total,Homicide,Rape,Robbery,AggAssault,Burglary,Larceny,AutoTheft,Arson
may,"STEVENS SQUARE - LORING HEIGHTS",18,0,0,1,2,1,12,2,0
may,"SUMNER - GLENWOOD",5,0,0,0,0,1,3,1,0
may,TANGLETOWN,10,0,0,0,0,2,7,1,0
may,"UNIVERSITY OF MINNESOTA",8,0,0,0,1,0,6,1,0
may,"VENTURA VILLAGE",37,0,0,6,3,2,22,2,2
may,VICTORY,9,0,0,0,0,2,6,0,1
may,"WAITE PARK",11,0,0,0,0,10,1,0,0
may,"WEBBER - CAMDEN",37,0,1,3,7,11,14,1,0
may,WENONAH,10,0,0,0,0,0,9,0,1
may,"WEST CALHOUN",12,0,0,0,0,4,8,0,0
may,WHITTIER,93,0,1,6,8,11,57,10,0
may,"WILLARD - HAY",55,0,0,11,8,11,16,9,0
may,WINDOM,15,0,0,0,2,4,7,2,0
may,"WINDOM PARK",22,0,0,0,5,8,8,1,0
june,ARMATAGE,4,0,0,0,1,2,1,0,0
june,"AUDUBON PARK",17,0,1,0,1,1,13,1,0
june,BANCROFT,20,0,0,1,0,6,9,4,0
june,BELTRAMI,9,0,0,1,0,3,3,2,0
june,BOTTINEAU,16,0,0,2,1,2,9,2,0
june,BRYANT,12,0,0,0,1,3,6,2,0
june,"BRYN - MAWR",8,0,0,0,1,2,5,0,0
june,"CAMDEN INDUSTRIAL",3,0,0,1,0,1,1,0,0
june,CARAG,34,0,0,1,1,5,24,3,0
june,"CEDAR - ISLES - DEAN",35,0,0,0,0,8,27,0,0
june,"CEDAR RIVERSIDE",28,0,0,5,3,3,16,1,0
june,CENTRAL,42,0,0,3,4,6,25,4,0
june,CLEVELAND,23,0,0,5,3,4,5,6,0
june,"COLUMBIA PARK",8,0,0,1,0,1,6,0,0
june,COMO,18,0,1,1,1,6,7,2,0
june,COOPER,26,0,0,0,0,8,16,2,0
june,CORCORAN,12,0,0,3,0,2,7,0,0
